Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
E08000028,Sandwell,3,Tank or bottled gas only,608
E08000028,Sandwell,4,Electric only,10421
E08000028,Sandwell,5,Oil only,46
E08000028,Sandwell,6,Wood only,29
E08000028,Sandwell,7,Solid fuel only,52
E08000028,Sandwell,8,Renewable energy only,66
E08000028,Sandwell,9,District or communal heat networks only,293
E08000028,Sandwell,10,Other central heating only,2031
E08000028,Sandwell,11,Two or more types of central heating (not including renewable energy),11607
E08000028,Sandwell,12,Two or more types of central heating (including renewable energy),299
E08000029,Solihull,-9,Does not apply,0
E08000029,Solihull,1,No central heating,962
E08000029,Solihull,2,Mains gas only,72794
E08000029,Solihull,3,Tank or bottled gas only,598
E08000029,Solihull,4,Electric only,5681
E08000029,Solihull,5,Oil only,700
E08000029,Solihull,6,Wood only,242
E08000029,Solihull,7,Solid fuel only,19
E08000029,Solihull,8,Renewable energy only,182
E08000029,Solihull,9,District or communal heat networks only,324
E08000029,Solihull,10,Other central heating only,997
E08000029,Solihull,11,Two or more types of central heating (not including renewable energy),6640
E08000029,Solihull,12,Two or more types of central heating (including renewable energy),343
E08000030,Walsall,-9,Does not apply,0
E08000030,Walsall,1,No central heating,1673
E08000030,Walsall,2,Mains gas only,89535
E08000030,Walsall,3,Tank or bottled gas only,557
E08000030,Walsall,4,Electric only,8755
E08000030,Walsall,5,Oil only,82
E08000030,Walsall,6,Wood only,43
E08000030,Walsall,7,Solid fuel only,42
E08000030,Walsall,8,Renewable energy only,81
E08000030,Walsall,9,District or communal heat networks only,414
E08000030,Walsall,10,Other central heating only,1348
E08000030,Walsall,11,Two or more types of central heating (not including renewable energy),9445
E08000030,Walsall,12,Two or more types of central heating (including renewable energy),251
E08000031,Wolverhampton,-9,Does not apply,0
E08000031,Wolverhampton,1,No central heating,1863
E08000031,Wolverhampton,2,Mains gas only,80484
E08000031,Wolverhampton,3,Tank or bottled gas only,440
E08000031,Wolverhampton,4,Electric only,10465
E08000031,Wolverhampton,5,Oil only,65
E08000031,Wolverhampton,6,Wood only,29
E08000031,Wolverhampton,7,Solid fuel only,53
E08000031,Wolverhampton,8,Renewable energy only,60
E08000031,Wolverhampton,9,District or communal heat networks only,771
E08000031,Wolverhampton,10,Other central heating only,1501
E08000031,Wolverhampton,11,Two or more types of central heating (not including renewable energy),9123
E08000031,Wolverhampton,12,Two or more types of central heating (including renewable energy),288
E08000032,Bradford,-9,Does not apply,0
E08000032,Bradford,1,No central heating,4539
E08000032,Bradford,2,Mains gas only,164616
E08000032,Bradford,3,Tank or bottled gas only,1050
E08000032,Bradford,4,Electric only,15172
E08000032,Bradford,5,Oil only,702
E08000032,Bradford,6,Wood only,114
E08000032,Bradford,7,Solid fuel only,127
E08000032,Bradford,8,Renewable energy only,258
E08000032,Bradford,9,District or communal heat networks only,968
E08000032,Bradford,10,Other central heating only,3439
E08000032,Bradford,11,Two or more types of central heating (not including renewable energy),18321
E08000032,Bradford,12,Two or more types of central heating (including renewable energy),560
E08000033,Calderdale,-9,Does not apply,0
E08000033,Calderdale,1,No central heating,1863
E08000033,Calderdale,2,Mains gas only,70481
E08000033,Calderdale,3,Tank or bottled gas only,550
E08000033,Calderdale,4,Electric only,5840
E08000033,Calderdale,5,Oil only,843
E08000033,Calderdale,6,Wood only,124
E08000033,Calderdale,7,Solid fuel only,197
E08000033,Calderdale,8,Renewable energy only,283
E08000033,Calderdale,9,District or communal heat networks only,200
E08000033,Calderdale,10,Other central heating only,738
E08000033,Calderdale,11,Two or more types of central heating (not including renewable energy),8962
E08000033,Calderdale,12,Two or more types of central heating (including renewable energy),398
E08000034,Kirklees,-9,Does not apply,0
E08000034,Kirklees,1,No central heating,3543
E08000034,Kirklees,2,Mains gas only,143867
E08000034,Kirklees,3,Tank or bottled gas only,816
E08000034,Kirklees,4,Electric only,9322
E08000034,Kirklees,5,Oil only,715
E08000034,Kirklees,6,Wood only,143
E08000034,Kirklees,7,Solid fuel only,236
E08000034,Kirklees,8,Renewable energy only,437
E08000034,Kirklees,9,District or communal heat networks only,936
E08000034,Kirklees,10,Other central heating only,1713
E08000034,Kirklees,11,Two or more types of central heating (not including renewable energy),15490
E08000034,Kirklees,12,Two or more types of central heating (including renewable energy),770
E08000035,Leeds,-9,Does not apply,0
E08000035,Leeds,1,No central heating,7383
E08000035,Leeds,2,Mains gas only,261846
E08000035,Leeds,3,Tank or bottled gas only,1439
E08000035,Leeds,4,Electric only,36550
E08000035,Leeds,5,Oil only,660
E08000035,Leeds,6,Wood only,136
E08000035,Leeds,7,Solid fuel only,232
E08000035,Leeds,8,Renewable energy only,621
E08000035,Leeds,9,District or communal heat networks only,1572
E08000035,Leeds,10,Other central heating only,3596
E08000035,Leeds,11,Two or more types of central heating (not including renewable energy),26274
E08000035,Leeds,12,Two or more types of central heating (including renewable energy),1159
E08000036,Wakefield,-9,Does not apply,0
E08000036,Wakefield,1,No central heating,1501
E08000036,Wakefield,2,Mains gas only,125136
E08000036,Wakefield,3,Tank or bottled gas only,683
E08000036,Wakefield,4,Electric only,7930
E08000036,Wakefield,5,Oil only,547
E08000036,Wakefield,6,Wood only,93
E08000036,Wakefield,7,Solid fuel only,985
E08000036,Wakefield,8,Renewable energy only,303
E08000036,Wakefield,9,District or communal heat networks only,991
E08000036,Wakefield,10,Other central heating only,1070
E08000036,Wakefield,11,Two or more types of central heating (not including renewable energy),13120
E08000036,Wakefield,12,Two or more types of central heating (including renewable energy),716
E08000037,Gateshead,-9,Does not apply,0
E08000037,Gateshead,1,No central heating,778
E08000037,Gateshead,2,Mains gas only,71620
E08000037,Gateshead,3,Tank or bottled gas only,309
E08000037,Gateshead,4,Electric only,5614
E08000037,Gateshead,5,Oil only,202
E08000037,Gateshead,6,Wood only,37
E08000037,Gateshead,7,Solid fuel only,139
E08000037,Gateshead,8,Renewable energy only,115
E08000037,Gateshead,9,District or communal heat networks only,594
E08000037,Gateshead,10,Other central heating only,962
E08000037,Gateshead,11,Two or more types of central heating (not including renewable energy),8381
E08000037,Gateshead,12,Two or more types of central heating (including renewable energy),248
E09000001,City of London,-9,Does not apply,0
E09000001,City of London,1,No central heating,184
E09000001,City of London,2,Mains gas only,1323
E09000001,City of London,3,Tank or bottled gas only,29
E09000001,City of London,4,Electric only,1937
E09000001,City of London,5,Oil only,15
E09000001,City of London,6,Wood only,1
E09000001,City of London,7,Solid fuel only,0
E09000001,City of London,8,Renewable energy only,9
E09000001,City of London,9,District or communal heat networks only,915
E09000001,City of London,10,Other central heating only,145
E09000001,City of London,11,Two or more types of central heating (not including renewable energy),348
E09000001,City of London,12,Two or more types of central heating (including renewable energy),9
E09000002,Barking and Dagenham,-9,Does not apply,0
E09000002,Barking and Dagenham,1,No central heating,1611
E09000002,Barking and Dagenham,2,Mains gas only,52530
E09000002,Barking and Dagenham,3,Tank or bottled gas only,474
E09000002,Barking and Dagenham,4,Electric only,9141
E09000002,Barking and Dagenham,5,Oil only,60
E09000002,Barking and Dagenham,6,Wood only,18
E09000002,Barking and Dagenham,7,Solid fuel only,11
E09000002,Barking and Dagenham,8,Renewable energy only,146
E09000002,Barking and Dagenham,9,District or communal heat networks only,1598
E09000002,Barking and Dagenham,10,Other central heating only,1634
E09000002,Barking and Dagenham,11,Two or more types of central heating (not including renewable energy),6402
E09000002,Barking and Dagenham,12,Two or more types of central heating (including renewable energy),277
E09000003,Barnet,-9,Does not apply,0
E09000003,Barnet,1,No central heating,2886
E09000003,Barnet,2,Mains gas only,108431
E09000003,Barnet,3,Tank or bottled gas only,831
E09000003,Barnet,4,Electric only,19271
E09000003,Barnet,5,Oil only,120
E09000003,Barnet,6,Wood only,18
E09000003,Barnet,7,Solid fuel only,11
E09000003,Barnet,8,Renewable energy only,214
E09000003,Barnet,9,District or communal heat networks only,3297
E09000003,Barnet,10,Other central heating only,2279
E09000003,Barnet,11,Two or more types of central heating (not including renewable energy),11059
E09000003,Barnet,12,Two or more types of central heating (including renewable energy),502
E09000004,Bexley,-9,Does not apply,0
E09000004,Bexley,1,No central heating,1588
E09000004,Bexley,2,Mains gas only,75672
E09000004,Bexley,3,Tank or bottled gas only,397
E09000004,Bexley,4,Electric only,8501
E09000004,Bexley,5,Oil only,51
E09000004,Bexley,6,Wood only,5
E09000004,Bexley,7,Solid fuel only,9
E09000004,Bexley,8,Renewable energy only,129
E09000004,Bexley,9,District or communal heat networks only,735
E09000004,Bexley,10,Other central heating only,907
E09000004,Bexley,11,Two or more types of central heating (not including renewable energy),6998
E09000004,Bexley,12,Two or more types of central heating (including renewable energy),308
E09000005,Brent,-9,Does not apply,0
E09000005,Brent,1,No central heating,2662
E09000005,Brent,2,Mains gas only,82428
E09000005,Brent,3,Tank or bottled gas only,858
E09000005,Brent,4,Electric only,15907
E09000005,Brent,5,Oil only,118
E09000005,Brent,6,Wood only,12
E09000005,Brent,7,Solid fuel only,8
E09000005,Brent,8,Renewable energy only,198
E09000005,Brent,9,District or communal heat networks only,2689
E09000005,Brent,10,Other central heating only,3028
E09000005,Brent,11,Two or more types of central heating (not including renewable energy),10356
E09000005,Brent,12,Two or more types of central heating (including renewable energy),344
E09000006,Bromley,-9,Does not apply,0
E09000006,Bromley,1,No central heating,1757
E09000006,Bromley,2,Mains gas only,111677
E09000006,Bromley,3,Tank or bottled gas only,511
E09000006,Bromley,4,Electric only,9216
E09000006,Bromley,5,Oil only,276
E09000006,Bromley,6,Wood only,15
E09000006,Bromley,7,Solid fuel only,21
E09000006,Bromley,8,Renewable energy only,153
E09000006,Bromley,9,District or communal heat networks only,1100
E09000006,Bromley,10,Other central heating only,1040
E09000006,Bromley,11,Two or more types of central heating (not including renewable energy),9514
E09000006,Bromley,12,Two or more types of central heating (including renewable energy),547
E09000007,Camden,-9,Does not apply,0
E09000007,Camden,1,No central heating,2561
E09000007,Camden,2,Mains gas only,58575
E09000007,Camden,3,Tank or bottled gas only,754
E09000007,Camden,4,Electric only,11708
E09000007,Camden,5,Oil only,313
E09000007,Camden,6,Wood only,2
E09000007,Camden,7,Solid fuel only,9
E09000007,Camden,8,Renewable energy only,192
E09000007,Camden,9,District or communal heat networks only,8706
E09000007,Camden,10,Other central heating only,2104
E09000007,Camden,11,Two or more types of central heating (not including renewable energy),7487
E09000007,Camden,12,Two or more types of central heating (including renewable energy),349
E09000008,Croydon,-9,Does not apply,0
E09000008,Croydon,1,No central heating,3047
E09000008,Croydon,2,Mains gas only,114319
E09000008,Croydon,3,Tank or bottled gas only,859
E09000008,Croydon,4,Electric only,15977
E09000008,Croydon,5,Oil only,110
E09000008,Croydon,6,Wood only,19
E09000008,Croydon,7,Solid fuel only,20
E09000008,Croydon,8,Renewable energy only,229
E09000008,Croydon,9,District or communal heat networks only,2089
E09000008,Croydon,10,Other central heating only,2682
E09000008,Croydon,11,Two or more types of central heating (not including renewable energy),12920
E09000008,Croydon,12,Two or more types of central heating (including renewable energy),674
E09000009,Ealing,-9,Does not apply,0
E09000009,Ealing,1,No central heating,2814
E09000009,Ealing,2,Mains gas only,97758
E09000009,Ealing,3,Tank or bottled gas only,806
E09000009,Ealing,4,Electric only,15480
E09000009,Ealing,5,Oil only,127
E09000009,Ealing,6,Wood only,12
E09000009,Ealing,7,Solid fuel only,23
E09000009,Ealing,8,Renewable energy only,230
E09000009,Ealing,9,District or communal heat networks only,3105
E09000009,Ealing,10,Other central heating only,2572
E09000009,Ealing,11,Two or more types of central heating (not including renewable energy),10296
E09000009,Ealing,12,Two or more types of central heating (including renewable energy),436
E09000010,Enfield,-9,Does not apply,0
E09000010,Enfield,1,No central heating,2543
E09000010,Enfield,2,Mains gas only,87518
E09000010,Enfield,3,Tank or bottled gas only,707
E09000010,Enfield,4,Electric only,15729
E09000010,Enfield,5,Oil only,91
E09000010,Enfield,6,Wood only,5
E09000010,Enfield,7,Solid fuel only,12
E09000010,Enfield,8,Renewable energy only,169
E09000010,Enfield,9,District or communal heat networks only,912
E09000010,Enfield,10,Other central heating only,2061
E09000010,Enfield,11,Two or more types of central heating (not including renewable energy),10866
E09000010,Enfield,12,Two or more types of central heating (including renewable energy),310
E09000011,Greenwich,-9,Does not apply,0
E09000011,Greenwich,1,No central heating,2421
E09000011,Greenwich,2,Mains gas only,75572
E09000011,Greenwich,3,Tank or bottled gas only,705
E09000011,Greenwich,4,Electric only,14842
E09000011,Greenwich,5,Oil only,92
E09000011,Greenwich,6,Wood only,9
E09000011,Greenwich,7,Solid fuel only,8
E09000011,Greenwich,8,Renewable energy only,328
E09000011,Greenwich,9,District or communal heat networks only,7020
E09000011,Greenwich,10,Other central heating only,2242
E09000011,Greenwich,11,Two or more types of central heating (not including renewable energy),10346
E09000011,Greenwich,12,Two or more types of central heating (including renewable energy),467
E09000012,Hackney,-9,Does not apply,0
E09000012,Hackney,1,No central heating,2881
E09000012,Hackney,2,Mains gas only,69894
E09000012,Hackney,3,Tank or bottled gas only,738
E09000012,Hackney,4,Electric only,15276
E09000012,Hackney,5,Oil only,106
E09000012,Hackney,6,Wood only,20
E09000012,Hackney,7,Solid fuel only,13
E09000012,Hackney,8,Renewable energy only,299
E09000012,Hackney,9,District or communal heat networks only,4391
E09000012,Hackney,10,Other central heating only,2528
E09000012,Hackney,11,Two or more types of central heating (not including renewable energy),9493
E09000012,Hackney,12,Two or more types of central heating (including renewable energy),442
E09000013,Hammersmith and Fulham,-9,Does not apply,0
E09000013,Hammersmith and Fulham,1,No central heating,2013
E09000013,Hammersmith and Fulham,2,Mains gas only,55867
E09000013,Hammersmith and Fulham,3,Tank or bottled gas only,549
E09000013,Hammersmith and Fulham,4,Electric only,10037
E09000013,Hammersmith and Fulham,5,Oil only,163
E09000013,Hammersmith and Fulham,6,Wood only,9
E09000013,Hammersmith and Fulham,7,Solid fuel only,7
E09000013,Hammersmith and Fulham,8,Renewable energy only,145
E09000013,Hammersmith and Fulham,9,District or communal heat networks only,3291
E09000013,Hammersmith and Fulham,10,Other central heating only,1625
E09000013,Hammersmith and Fulham,11,Two or more types of central heating (not including renewable energy),7244
E09000013,Hammersmith and Fulham,12,Two or more types of central heating (including renewable energy),294
E09000014,Haringey,-9,Does not apply,0
E09000014,Haringey,1,No central heating,2394
E09000014,Haringey,2,Mains gas only,76547
E09000014,Haringey,3,Tank or bottled gas only,680
E09000014,Haringey,4,Electric only,11305
E09000014,Haringey,5,Oil only,73
E09000014,Haringey,6,Wood only,15
E09000014,Haringey,7,Solid fuel only,9
E09000014,Haringey,8,Renewable energy only,156
E09000014,Haringey,9,District or communal heat networks only,2181
E09000014,Haringey,10,Other central heating only,2067
E09000014,Haringey,11,Two or more types of central heating (not including renewable energy),9378
E09000014,Haringey,12,Two or more types of central heating (including renewable energy),286
E09000015,Harrow,-9,Does not apply,0
E09000015,Harrow,1,No central heating,1282
E09000015,Harrow,2,Mains gas only,70202
E09000015,Harrow,3,Tank or bottled gas only,494
E09000015,Harrow,4,Electric only,7988
E09000015,Harrow,5,Oil only,56
E09000015,Harrow,6,Wood only,5
E09000015,Harrow,7,Solid fuel only,15
E09000015,Harrow,8,Renewable energy only,76
E09000015,Harrow,9,District or communal heat networks only,1094
E09000015,Harrow,10,Other central heating only,1332
E09000015,Harrow,11,Two or more types of central heating (not including renewable energy),6784
E09000015,Harrow,12,Two or more types of central heating (including renewable energy),308
E09000016,Havering,-9,Does not apply,0
E09000016,Havering,1,No central heating,1428
E09000016,Havering,2,Mains gas only,82383
E09000016,Havering,3,Tank or bottled gas only,434
E09000016,Havering,4,Electric only,7179
E09000016,Havering,5,Oil only,104
E09000016,Havering,6,Wood only,16
E09000016,Havering,7,Solid fuel only,28
E09000016,Havering,8,Renewable energy only,110
E09000016,Havering,9,District or communal heat networks only,1013
E09000016,Havering,10,Other central heating only,947
E09000016,Havering,11,Two or more types of central heating (not including renewable energy),7270
E09000016,Havering,12,Two or more types of central heating (including renewable energy),363
E09000017,Hillingdon,-9,Does not apply,0
E09000017,Hillingdon,1,No central heating,1784
E09000017,Hillingdon,2,Mains gas only,82764
E09000017,Hillingdon,3,Tank or bottled gas only,695
E09000017,Hillingdon,4,Electric only,11968
E09000017,Hillingdon,5,Oil only,109
E09000017,Hillingdon,6,Wood only,16
E09000017,Hillingdon,7,Solid fuel only,25
E09000017,Hillingdon,8,Renewable energy only,183
E09000017,Hillingdon,9,District or communal heat networks only,1409
E09000017,Hillingdon,10,Other central heating only,1596
E09000017,Hillingdon,11,Two or more types of central heating (not including renewable energy),8318
E09000017,Hillingdon,12,Two or more types of central heating (including renewable energy),362
E09000018,Hounslow,-9,Does not apply,0
E09000018,Hounslow,1,No central heating,2266
E09000018,Hounslow,2,Mains gas only,69792
E09000018,Hounslow,3,Tank or bottled gas only,739
E09000018,Hounslow,4,Electric only,15509
E09000018,Hounslow,5,Oil only,139
E09000018,Hounslow,6,Wood only,16
E09000018,Hounslow,7,Solid fuel only,16
E09000018,Hounslow,8,Renewable energy only,144
E09000018,Hounslow,9,District or communal heat networks only,4033
E09000018,Hounslow,10,Other central heating only,2048
E09000018,Hounslow,11,Two or more types of central heating (not including renewable energy),7921
E09000018,Hounslow,12,Two or more types of central heating (including renewable energy),338
E09000019,Islington,-9,Does not apply,0
E09000019,Islington,1,No central heating,2349
E09000019,Islington,2,Mains gas only,64184
E09000019,Islington,3,Tank or bottled gas only,860
E09000019,Islington,4,Electric only,13275
E09000019,Islington,5,Oil only,104
E09000019,Islington,6,Wood only,11
E09000019,Islington,7,Solid fuel only,11
E09000019,Islington,8,Renewable energy only,206
E09000019,Islington,9,District or communal heat networks only,5022
E09000019,Islington,10,Other central heating only,1686
E09000019,Islington,11,Two or more types of central heating (not including renewable energy),8355
E09000019,Islington,12,Two or more types of central heating (including renewable energy),434
E09000020,Kensington and Chelsea,-9,Does not apply,0
E09000020,Kensington and Chelsea,1,No central heating,2300
E09000020,Kensington and Chelsea,2,Mains gas only,42435
E09000020,Kensington and Chelsea,3,Tank or bottled gas only,512
E09000020,Kensington and Chelsea,4,Electric only,9414
E09000020,Kensington and Chelsea,5,Oil only,335
E09000020,Kensington and Chelsea,6,Wood only,4
E09000020,Kensington and Chelsea,7,Solid fuel only,8
E09000020,Kensington and Chelsea,8,Renewable energy only,89
E09000020,Kensington and Chelsea,9,District or communal heat networks only,3955
E09000020,Kensington and Chelsea,10,Other central heating only,1480
E09000020,Kensington and Chelsea,11,Two or more types of central heating (not including renewable energy),6198
E09000020,Kensington and Chelsea,12,Two or more types of central heating (including renewable energy),154
E09000021,Kingston upon Thames,-9,Does not apply,0
E09000021,Kingston upon Thames,1,No central heating,1184
E09000021,Kingston upon Thames,2,Mains gas only,51240
E09000021,Kingston upon Thames,3,Tank or bottled gas only,284
E09000021,Kingston upon Thames,4,Electric only,7011
E09000021,Kingston upon Thames,5,Oil only,46
E09000021,Kingston upon Thames,6,Wood only,9
E09000021,Kingston upon Thames,7,Solid fuel only,10
E09000021,Kingston upon Thames,8,Renewable energy only,119
E09000021,Kingston upon Thames,9,District or communal heat networks only,421
E09000021,Kingston upon Thames,10,Other central heating only,546
E09000021,Kingston upon Thames,11,Two or more types of central heating (not including renewable energy),4497
E09000021,Kingston upon Thames,12,Two or more types of central heating (including renewable energy),261
E09000022,Lambeth,-9,Does not apply,0
E09000022,Lambeth,1,No central heating,3517
E09000022,Lambeth,2,Mains gas only,93111
E09000022,Lambeth,3,Tank or bottled gas only,993
E09000022,Lambeth,4,Electric only,15588
E09000022,Lambeth,5,Oil only,159
E09000022,Lambeth,6,Wood only,15
E09000022,Lambeth,7,Solid fuel only,9
E09000022,Lambeth,8,Renewable energy only,225
E09000022,Lambeth,9,District or communal heat networks only,5759
E09000022,Lambeth,10,Other central heating only,2825
E09000022,Lambeth,11,Two or more types of central heating (not including renewable energy),11992
E09000022,Lambeth,12,Two or more types of central heating (including renewable energy),495
E09000023,Lewisham,-9,Does not apply,0
E09000023,Lewisham,1,No central heating,2949
E09000023,Lewisham,2,Mains gas only,87473
E09000023,Lewisham,3,Tank or bottled gas only,642
E09000023,Lewisham,4,Electric only,14400
E09000023,Lewisham,5,Oil only,85
E09000023,Lewisham,6,Wood only,14
E09000023,Lewisham,7,Solid fuel only,8
E09000023,Lewisham,8,Renewable energy only,197
E09000023,Lewisham,9,District or communal heat networks only,3296
E09000023,Lewisham,10,Other central heating only,2136
E09000023,Lewisham,11,Two or more types of central heating (not including renewable energy),10796
E09000023,Lewisham,12,Two or more types of central heating (including renewable energy),395
E09000024,Merton,-9,Does not apply,0
E09000024,Merton,1,No central heating,1645
E09000024,Merton,2,Mains gas only,63382
E09000024,Merton,3,Tank or bottled gas only,388
E09000024,Merton,4,Electric only,7981
E09000024,Merton,5,Oil only,54
E09000024,Merton,6,Wood only,8
E09000024,Merton,7,Solid fuel only,8
E09000024,Merton,8,Renewable energy only,144
E09000024,Merton,9,District or communal heat networks only,676
E09000024,Merton,10,Other central heating only,1057
E09000024,Merton,11,Two or more types of central heating (not including renewable energy),6055
E09000024,Merton,12,Two or more types of central heating (including renewable energy),331
E09000025,Newham,-9,Does not apply,0
E09000025,Newham,1,No central heating,2942
E09000025,Newham,2,Mains gas only,73669
E09000025,Newham,3,Tank or bottled gas only,770
E09000025,Newham,4,Electric only,17995
E09000025,Newham,5,Oil only,122
E09000025,Newham,6,Wood only,19
E09000025,Newham,7,Solid fuel only,19
E09000025,Newham,8,Renewable energy only,270
E09000025,Newham,9,District or communal heat networks only,5710
E09000025,Newham,10,Other central heating only,3189
E09000025,Newham,11,Two or more types of central heating (not including renewable energy),10429
E09000025,Newham,12,Two or more types of central heating (including renewable energy),371
E09000026,Redbridge,-9,Does not apply,0
E09000026,Redbridge,1,No central heating,2130
E09000026,Redbridge,2,Mains gas only,79918
E09000026,Redbridge,3,Tank or bottled gas only,528
E09000026,Redbridge,4,Electric only,10362
E09000026,Redbridge,5,Oil only,72
E09000026,Redbridge,6,Wood only,7
E09000026,Redbridge,7,Solid fuel only,12
E09000026,Redbridge,8,Renewable energy only,100
E09000026,Redbridge,9,District or communal heat networks only,816
E09000026,Redbridge,10,Other central heating only,1803
E09000026,Redbridge,11,Two or more types of central heating (not including renewable energy),7721
E09000026,Redbridge,12,Two or more types of central heating (including renewable energy),244
E09000027,Richmond upon Thames,-9,Does not apply,0
E09000027,Richmond upon Thames,1,No central heating,1177
E09000027,Richmond upon Thames,2,Mains gas only,64938
E09000027,Richmond upon Thames,3,Tank or bottled gas only,270
E09000027,Richmond upon Thames,4,Electric only,6212
E09000027,Richmond upon Thames,5,Oil only,102
E09000027,Richmond upon Thames,6,Wood only,10
E09000027,Richmond upon Thames,7,Solid fuel only,8
E09000027,Richmond upon Thames,8,Renewable energy only,158
E09000027,Richmond upon Thames,9,District or communal heat networks only,1011
E09000027,Richmond upon Thames,10,Other central heating only,568
E09000027,Richmond upon Thames,11,Two or more types of central heating (not including renewable energy),5878
E09000027,Richmond upon Thames,12,Two or more types of central heating (including renewable energy),375
E09000028,Southwark,-9,Does not apply,0
E09000028,Southwark,1,No central heating,4021
E09000028,Southwark,2,Mains gas only,73398
E09000028,Southwark,3,Tank or bottled gas only,1241
E09000028,Southwark,4,Electric only,23096
E09000028,Southwark,5,Oil only,121
E09000028,Southwark,6,Wood only,16
E09000028,Southwark,7,Solid fuel only,4
E09000028,Southwark,8,Renewable energy only,391
E09000028,Southwark,9,District or communal heat networks only,13839
E09000028,Southwark,10,Other central heating only,2859
E09000028,Southwark,11,Two or more types of central heating (not including renewable energy),11265
E09000028,Southwark,12,Two or more types of central heating (including renewable energy),567
E09000029,Sutton,-9,Does not apply,0
E09000029,Sutton,1,No central heating,1461
E09000029,Sutton,2,Mains gas only,62095
E09000029,Sutton,3,Tank or bottled gas only,307
E09000029,Sutton,4,Electric only,10432
E09000029,Sutton,5,Oil only,40
E09000029,Sutton,6,Wood only,16
E09000029,Sutton,7,Solid fuel only,9
E09000029,Sutton,8,Renewable energy only,137
E09000029,Sutton,9,District or communal heat networks only,1143
E09000029,Sutton,10,Other central heating only,791
E09000029,Sutton,11,Two or more types of central heating (not including renewable energy),5555
E09000029,Sutton,12,Two or more types of central heating (including renewable energy),361
E09000030,Tower Hamlets,-9,Does not apply,0
E09000030,Tower Hamlets,1,No central heating,3690
E09000030,Tower Hamlets,2,Mains gas only,58328
E09000030,Tower Hamlets,3,Tank or bottled gas only,796
E09000030,Tower Hamlets,4,Electric only,33850
E09000030,Tower Hamlets,5,Oil only,214
E09000030,Tower Hamlets,6,Wood only,39
E09000030,Tower Hamlets,7,Solid fuel only,16
E09000030,Tower Hamlets,8,Renewable energy only,360
E09000030,Tower Hamlets,9,District or communal heat networks only,10036
E09000030,Tower Hamlets,10,Other central heating only,2984
E09000030,Tower Hamlets,11,Two or more types of central heating (not including renewable energy),9773
E09000030,Tower Hamlets,12,Two or more types of central heating (including renewable energy),453
E09000031,Waltham Forest,-9,Does not apply,0
E09000031,Waltham Forest,1,No central heating,2190
E09000031,Waltham Forest,2,Mains gas only,77750
E09000031,Waltham Forest,3,Tank or bottled gas only,511
E09000031,Waltham Forest,4,Electric only,9811
E09000031,Waltham Forest,5,Oil only,71
E09000031,Waltham Forest,6,Wood only,13
E09000031,Waltham Forest,7,Solid fuel only,12
E09000031,Waltham Forest,8,Renewable energy only,146
E09000031,Waltham Forest,9,District or communal heat networks only,2023
E09000031,Waltham Forest,10,Other central heating only,1929
E09000031,Waltham Forest,11,Two or more types of central heating (not including renewable energy),8094
E09000031,Waltham Forest,12,Two or more types of central heating (including renewable energy),351
E09000032,Wandsworth,-9,Does not apply,0
E09000032,Wandsworth,1,No central heating,2832
E09000032,Wandsworth,2,Mains gas only,95727
E09000032,Wandsworth,3,Tank or bottled gas only,674
E09000032,Wandsworth,4,Electric only,18295
E09000032,Wandsworth,5,Oil only,169
E09000032,Wandsworth,6,Wood only,6
E09000032,Wandsworth,7,Solid fuel only,7
E09000032,Wandsworth,8,Renewable energy only,306
E09000032,Wandsworth,9,District or communal heat networks only,5333
E09000032,Wandsworth,10,Other central heating only,2245
E09000032,Wandsworth,11,Two or more types of central heating (not including renewable energy),11221
E09000032,Wandsworth,12,Two or more types of central heating (including renewable energy),578
E09000033,Westminster,-9,Does not apply,0
E09000033,Westminster,1,No central heating,3680
E09000033,Westminster,2,Mains gas only,53249
E09000033,Westminster,3,Tank or bottled gas only,742
E09000033,Westminster,4,Electric only,17561
E09000033,Westminster,5,Oil only,446
E09000033,Westminster,6,Wood only,4
E09000033,Westminster,7,Solid fuel only,27
E09000033,Westminster,8,Renewable energy only,184
E09000033,Westminster,9,District or communal heat networks only,8076
E09000033,Westminster,10,Other central heating only,2579
E09000033,Westminster,11,Two or more types of central heating (not including renewable energy),8049
E09000033,Westminster,12,Two or more types of central heating (including renewable energy),218
E10000003,Cambridgeshire,-9,Does not apply,0
E10000003,Cambridgeshire,1,No central heating,2964
E10000003,Cambridgeshire,2,Mains gas only,191434
E10000003,Cambridgeshire,3,Tank or bottled gas only,3527
E10000003,Cambridgeshire,4,Electric only,23562
E10000003,Cambridgeshire,5,Oil only,25768
E10000003,Cambridgeshire,6,Wood only,326
E10000003,Cambridgeshire,7,Solid fuel only,454
E10000003,Cambridgeshire,8,Renewable energy only,2672
E10000003,Cambridgeshire,9,District or communal heat networks only,1638
E10000003,Cambridgeshire,10,Other central heating only,1583
E10000003,Cambridgeshire,11,Two or more types of central heating (not including renewable energy),20897
E10000003,Cambridgeshire,12,Two or more types of central heating (including renewable energy),2807
E10000006,Cumbria,-9,Does not apply,0
E10000006,Cumbria,1,No central heating,3956
E10000006,Cumbria,2,Mains gas only,156927
E10000006,Cumbria,3,Tank or bottled gas only,4093
E10000006,Cumbria,4,Electric only,13198
E10000006,Cumbria,5,Oil only,17512
