Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
E06000030,Swindon,1,No central heating,1248
E06000030,Swindon,2,Mains gas only,75366
E06000030,Swindon,3,Tank or bottled gas only,541
E06000030,Swindon,4,Electric only,9005
E06000030,Swindon,5,Oil only,545
E06000030,Swindon,6,Wood only,32
E06000030,Swindon,7,Solid fuel only,25
E06000030,Swindon,8,Renewable energy only,83
E06000030,Swindon,9,District or communal heat networks only,613
E06000030,Swindon,10,Other central heating only,745
E06000030,Swindon,11,Two or more types of central heating (not including renewable energy),7336
E06000030,Swindon,12,Two or more types of central heating (including renewable energy),322
E06000031,Peterborough,-9,Does not apply,0
E06000031,Peterborough,1,No central heating,1024
E06000031,Peterborough,2,Mains gas only,64800
E06000031,Peterborough,3,Tank or bottled gas only,979
E06000031,Peterborough,4,Electric only,6665
E06000031,Peterborough,5,Oil only,1761
E06000031,Peterborough,6,Wood only,31
E06000031,Peterborough,7,Solid fuel only,56
E06000031,Peterborough,8,Renewable energy only,216
E06000031,Peterborough,9,District or communal heat networks only,465
E06000031,Peterborough,10,Other central heating only,1092
E06000031,Peterborough,11,Two or more types of central heating (not including renewable energy),6775
E06000031,Peterborough,12,Two or more types of central heating (including renewable energy),669
E06000032,Luton,-9,Does not apply,0
E06000032,Luton,1,No central heating,1453
E06000032,Luton,2,Mains gas only,59302
E06000032,Luton,3,Tank or bottled gas only,544
E06000032,Luton,4,Electric only,9041
E06000032,Luton,5,Oil only,57
E06000032,Luton,6,Wood only,10
E06000032,Luton,7,Solid fuel only,17
E06000032,Luton,8,Renewable energy only,56
E06000032,Luton,9,District or communal heat networks only,569
E06000032,Luton,10,Other central heating only,1306
E06000032,Luton,11,Two or more types of central heating (not including renewable energy),6387
E06000032,Luton,12,Two or more types of central heating (including renewable energy),199
E06000033,Southend-on-Sea,-9,Does not apply,0
E06000033,Southend-on-Sea,1,No central heating,1078
E06000033,Southend-on-Sea,2,Mains gas only,61403
E06000033,Southend-on-Sea,3,Tank or bottled gas only,203
E06000033,Southend-on-Sea,4,Electric only,7942
E06000033,Southend-on-Sea,5,Oil only,38
E06000033,Southend-on-Sea,6,Wood only,13
E06000033,Southend-on-Sea,7,Solid fuel only,10
E06000033,Southend-on-Sea,8,Renewable energy only,104
E06000033,Southend-on-Sea,9,District or communal heat networks only,480
E06000033,Southend-on-Sea,10,Other central heating only,619
E06000033,Southend-on-Sea,11,Two or more types of central heating (not including renewable energy),6136
E06000033,Southend-on-Sea,12,Two or more types of central heating (including renewable energy),315
E06000034,Thurrock,-9,Does not apply,0
E06000034,Thurrock,1,No central heating,1173
E06000034,Thurrock,2,Mains gas only,49681
E06000034,Thurrock,3,Tank or bottled gas only,374
E06000034,Thurrock,4,Electric only,9001
E06000034,Thurrock,5,Oil only,140
E06000034,Thurrock,6,Wood only,17
E06000034,Thurrock,7,Solid fuel only,17
E06000034,Thurrock,8,Renewable energy only,65
E06000034,Thurrock,9,District or communal heat networks only,107
E06000034,Thurrock,10,Other central heating only,597
E06000034,Thurrock,11,Two or more types of central heating (not including renewable energy),4859
E06000034,Thurrock,12,Two or more types of central heating (including renewable energy),348
E06000035,Medway,-9,Does not apply,0
E06000035,Medway,1,No central heating,1887
E06000035,Medway,2,Mains gas only,89685
E06000035,Medway,3,Tank or bottled gas only,854
E06000035,Medway,4,Electric only,7435
E06000035,Medway,5,Oil only,513
E06000035,Medway,6,Wood only,46
E06000035,Medway,7,Solid fuel only,58
E06000035,Medway,8,Renewable energy only,105
E06000035,Medway,9,District or communal heat networks only,533
E06000035,Medway,10,Other central heating only,985
E06000035,Medway,11,Two or more types of central heating (not including renewable energy),8959
E06000035,Medway,12,Two or more types of central heating (including renewable energy),393
E06000036,Bracknell Forest,-9,Does not apply,0
E06000036,Bracknell Forest,1,No central heating,454
E06000036,Bracknell Forest,2,Mains gas only,39365
E06000036,Bracknell Forest,3,Tank or bottled gas only,353
E06000036,Bracknell Forest,4,Electric only,5223
E06000036,Bracknell Forest,5,Oil only,232
E06000036,Bracknell Forest,6,Wood only,7
E06000036,Bracknell Forest,7,Solid fuel only,5
E06000036,Bracknell Forest,8,Renewable energy only,126
E06000036,Bracknell Forest,9,District or communal heat networks only,155
E06000036,Bracknell Forest,10,Other central heating only,318
E06000036,Bracknell Forest,11,Two or more types of central heating (not including renewable energy),3719
E06000036,Bracknell Forest,12,Two or more types of central heating (including renewable energy),287
E06000037,West Berkshire,-9,Does not apply,0
E06000037,West Berkshire,1,No central heating,695
E06000037,West Berkshire,2,Mains gas only,40807
E06000037,West Berkshire,3,Tank or bottled gas only,1169
E06000037,West Berkshire,4,Electric only,8023
E06000037,West Berkshire,5,Oil only,7994
E06000037,West Berkshire,6,Wood only,147
E06000037,West Berkshire,7,Solid fuel only,265
E06000037,West Berkshire,8,Renewable energy only,736
E06000037,West Berkshire,9,District or communal heat networks only,573
E06000037,West Berkshire,10,Other central heating only,361
E06000037,West Berkshire,11,Two or more types of central heating (not including renewable energy),5404
E06000037,West Berkshire,12,Two or more types of central heating (including renewable energy),484
E06000038,Reading,-9,Does not apply,0
E06000038,Reading,1,No central heating,1434
E06000038,Reading,2,Mains gas only,48696
E06000038,Reading,3,Tank or bottled gas only,441
E06000038,Reading,4,Electric only,10601
E06000038,Reading,5,Oil only,90
E06000038,Reading,6,Wood only,10
E06000038,Reading,7,Solid fuel only,7
E06000038,Reading,8,Renewable energy only,122
E06000038,Reading,9,District or communal heat networks only,410
E06000038,Reading,10,Other central heating only,681
E06000038,Reading,11,Two or more types of central heating (not including renewable energy),4887
E06000038,Reading,12,Two or more types of central heating (including renewable energy),304
E06000039,Slough,-9,Does not apply,0
E06000039,Slough,1,No central heating,1061
E06000039,Slough,2,Mains gas only,37977
E06000039,Slough,3,Tank or bottled gas only,341
E06000039,Slough,4,Electric only,7950
E06000039,Slough,5,Oil only,31
E06000039,Slough,6,Wood only,4
E06000039,Slough,7,Solid fuel only,5
E06000039,Slough,8,Renewable energy only,31
E06000039,Slough,9,District or communal heat networks only,262
E06000039,Slough,10,Other central heating only,812
