RegName,energy_cost,weight
Moray,2369.2367999999997,194.66
Argyll and Bute,3323.4362727272724,170.54
South Ayrshire,2756.7288,183.09
Na h-Eileanan Siar,6566.0124000000005,47.89
Na h-Eileanan Siar,8341.622,47.58
Shetland Islands,13418.147522727271,38.82
Dundee City,2782.1391818181814,277.46
Shetland Islands,5538.1042,38.82
Scottish Borders,3379.1110227272725,250.57
Perth and Kinross,4374.8374,275.35
Glasgow City,2836.2156136363633,461.49
Moray,2803.49595,189.97
Glasgow City,1352.7402,375.68
Glasgow City,2462.7419318181815,461.49
Perth and Kinross,1107.3035599999998,283.67
Fife,6142.336772727273,390.83
Shetland Islands,3814.9191136363634,39.65
Glasgow City,2867.3828181818176,375.68
Shetland Islands,6543.514636363636,37.88
Argyll and Bute,6614.906181818182,170.54
Glasgow City,1231.76876,398.5
Inverclyde,3736.335136363636,196.27
Highland,8341.622,392.71
South Ayrshire,5690.069600000001,186.65
North Lanarkshire,3572.2411363636365,497.72
Highland,5374.344886363636,401.29
Na h-Eileanan Siar,5892.250799999999,55.69
Argyll and Bute,6773.6724545454545,170.54
Fife,3928.9579999999996,364.35
Perth and Kinross,2543.457,333.59
Highland,5360.133017647059,428.59
Aberdeen City,3472.6126363636363,362.43
East Lothian,2946.4995681818177,178.71
South Lanarkshire,7543.758476470588,472.27
Orkney Islands,8497.725,43.74
Shetland Islands,6330.80428,35.94
Argyll and Bute,4404.16575,183.25
Scottish Borders,8341.622,295.24
Aberdeenshire,5498.1687999999995,457.55
Shetland Islands,4575.95216,39.37
West Dunbartonshire,3555.991568181818,186.47
South Lanarkshire,2462.7419318181815,390.8
Highland,4767.51675,506.24
East Lothian,3531.2176363636363,207.83
Inverclyde,8335.762090909091,163.99
Shetland Islands,6694.121999999999,36.07
Orkney Islands,2994.1827272727273,48.25
Glasgow City,2462.7419318181815,439.64
East Ayrshire,3928.299,181.46
Highland,4563.464795454545,381.54
Aberdeen City,1229.2576199999999,419.71
Aberdeenshire,5962.104799999999,386.89
Argyll and Bute,2480.8562045454546,197.22
Aberdeenshire,8341.622,454.17
Orkney Islands,16031.664136363635,47.24
Inverclyde,5181.819497647059,175.14
Angus,6032.82835,270.6
Na h-Eileanan Siar,8341.622,46.4
Perth and Kinross,8341.622,308.1
Na h-Eileanan Siar,9570.462886363637,43.9
Dumfries and Galloway,3627.6495,243.2
Highland,12852.609272727272,418.27
Aberdeen City,1764.4998500000002,362.43
Orkney Islands,4427.074977272728,47.06
Shetland Islands,8746.529863636364,38.67
"Edinburgh, City of",5277.913022727273,452.69
Falkirk,1009.3690999999999,300.94
Midlothian,3856.9952000000003,132.83
Scottish Borders,8341.622,295.24
Na h-Eileanan Siar,4789.626818181819,52.64
Highland,8341.622,428.59
Shetland Islands,6910.002200000001,38.02
Scottish Borders,4651.905068181818,281.8
Na h-Eileanan Siar,4966.224,46.1
Highland,3929.8805999999995,365.1
Dundee City,9730.028318181818,235.76
Glasgow City,2462.7419318181815,398.5
Orkney Islands,2888.6937272727273,49.45
Fife,2462.7419318181815,517.56
Angus,7531.275272727273,244.38
Aberdeen City,1009.3690999999999,419.71
Angus,6914.857227272727,326.31
Orkney Islands,8720.424,47.24
