RegName,energy_cost,weight
Aberdeenshire,4702.447,454.17
Orkney Islands,1784.2347272727272,41.38
Shetland Islands,2771.2830909090903,40.63
Moray,3741.5100909090906,189.97
Renfrewshire,1352.2913636363635,599.63
Perth and Kinross,4702.447,315.87
Argyll and Bute,2582.483568,180.9
Aberdeenshire,2825.989090909091,519.08
Shetland Islands,3182.1631818181813,37.88
Dundee City,1352.2913636363635,277.46
Aberdeen City,542.1268,362.43
Aberdeenshire,2731.350636363636,485.38
Dumfries and Galloway,3723.750348,257.97
Glasgow City,1002.39216,367.06
Moray,5259.188033333333,207.25
Aberdeen City,2102.670454545454,346.78
Na h-Eileanan Siar,4560.0139,46.4
Argyll and Bute,820.62141,225.19
Moray,2692.0827099999997,238.34
Na h-Eileanan Siar,4632.3078,43.9
Argyll and Bute,1531.475454545454,186.74
Highland,6756.483545454545,428.59
Highland,2181.8938,458.04
Aberdeen City,4134.10609090909,492.7
Orkney Islands,2956.3180909090906,47.24
Perth and Kinross,3164.2140999999997,275.35
Stirling,1624.5049090909088,200.12
Argyll and Bute,2758.2648181818176,180.9
"Edinburgh, City of",1352.2913636363635,396.6
Moray,1335.6168,194.66
Argyll and Bute,1824.898545454545,170.54
South Ayrshire,1554.0588,183.09
Na h-Eileanan Siar,3701.4774,47.89
Na h-Eileanan Siar,4702.447,47.58
Shetland Islands,7367.903545454545,38.82
Dundee City,1527.6723636363633,277.46
Shetland Islands,3122.0117,38.82
Scottish Borders,1855.4695454545454,250.57
Perth and Kinross,2466.2399,275.35
Glasgow City,1557.365727272727,461.49
Moray,1870.4228699999999,189.97
Glasgow City,726.5496,375.68
Glasgow City,1352.2913636363635,461.49
Perth and Kinross,594.7268799999999,283.67
Fife,3372.756545454545,390.83
Shetland Islands,2094.771727272727,39.65
Glasgow City,1574.479636363636,375.68
Shetland Islands,3593.0432727272723,37.88
Argyll and Bute,3632.2443636363632,170.54
Glasgow City,661.57648,398.5
Inverclyde,2051.6212727272728,196.27
Highland,4702.447,392.71
South Ayrshire,3207.6796,186.65
North Lanarkshire,1961.5172727272725,497.72
Highland,2951.052272727272,401.29
Na h-Eileanan Siar,3321.6558000000005,55.69
Argyll and Bute,3719.4229090909084,170.54
Fife,2214.883,364.35
Perth and Kinross,1396.6119999999999,333.59
Highland,3564.507370588235,428.59
Aberdeen City,1906.8112727272726,362.43
East Lothian,1617.9226363636362,178.71
South Lanarkshire,5016.626005882354,472.27
Orkney Islands,4666.099999999999,43.74
Shetland Islands,4089.2540880000006,35.94
Argyll and Bute,2418.3269999999998,183.25
Scottish Borders,4702.447,295.24
Aberdeenshire,3099.4988000000003,457.55
Shetland Islands,2457.71968,39.37
West Dunbartonshire,1952.5946363636363,186.47
South Lanarkshire,1352.2913636363635,390.8
Highland,2617.843,506.24
East Lothian,1938.9912727272724,207.83
Inverclyde,4577.166181818181,163.99
Shetland Islands,3773.697,36.07
Orkney Islands,1644.1054545454542,48.25
Glasgow City,1352.2913636363635,439.64
East Ayrshire,2214.5115,181.46
Highland,2505.7980909090907,381.54
Aberdeen City,660.22776,419.71
Aberdeenshire,3361.0348,386.89
Argyll and Bute,1362.237909090909,197.22
Aberdeenshire,4702.447,454.17
Orkney Islands,8802.985272727272,47.24
Inverclyde,3445.928250588235,175.14
Angus,4024.9532433333334,270.6
Na h-Eileanan Siar,4702.447,46.4
Perth and Kinross,4702.447,308.1
Na h-Eileanan Siar,5255.1402727272725,43.9
Dumfries and Galloway,1991.9419999999996,243.2
Highland,7057.366545454544,418.27
Aberdeen City,1177.2304766666664,362.43
Orkney Islands,2430.9064545454544,47.06
Shetland Islands,4802.718727272727,38.67
"Edinburgh, City of",2898.101545454545,452.69
Falkirk,542.1268,300.94
Midlothian,2174.3152,132.83
Scottish Borders,4702.447,295.24
Na h-Eileanan Siar,2629.983636363636,52.64
Highland,4702.447,428.59
Shetland Islands,3711.3256,38.02
Scottish Borders,2554.360636363636,281.8
Na h-Eileanan Siar,2799.624,46.1
Highland,2215.4031,365.1
Dundee City,5342.757636363636,235.76
Glasgow City,1352.2913636363635,398.5
Orkney Islands,1586.1814545454542,49.45
Fife,1352.2913636363635,517.56
Angus,4135.422545454545,244.38
Aberdeen City,542.1268,419.71
Angus,3796.947454545454,326.31
Orkney Islands,4788.383999999999,47.24
Orkney Islands,6061.980636363635,42.41
Aberdeenshire,2731.0451000000003,465.63
East Ayrshire,1352.2913636363635,205.64
East Renfrewshire,542.1268,251.28
Stirling,1681.843818181818,200.12
Highland,2002.5336,392.71
Scottish Borders,4702.447,295.24
Glasgow City,1352.2913636363635,503.44
Clackmannanshire,1352.2913636363635,106.73
North Ayrshire,5554.0772400000005,273.15
South Ayrshire,2550.719,208.07
Highland,1732.9732,392.71
Glasgow City,3608.255636363636,375.68
Aberdeenshire,5886.892181818182,451.07
Highland,2549.0948181818176,425.67
Perth and Kinross,1908.6183999999998,247.01
Highland,2058.11,343.61
Shetland Islands,3539.946272727272,35.94
Angus,3029.953756666666,224.84
Orkney Islands,2562.5327,42.53
South Lanarkshire,2297.373543333333,392.24
Scottish Borders,2151.4308,315.53
Argyll and Bute,2952.4591,155.16
Glasgow City,2182.3890909090906,398.5
Shetland Islands,3003.271636363636,39.8
Aberdeenshire,1704.0772727272724,455.67
Shetland Islands,2843.980636363636,38.55
North Ayrshire,1352.2913636363635,261.69
Orkney Islands,3696.8969090909086,49.45
Dumfries and Galloway,3628.148727272727,259.74
Angus,4854.756556666666,245.28
Na h-Eileanan Siar,8171.525909090908,47.89
Shetland Islands,1460.95696,38.31
Glasgow City,1366.1872727272726,375.68
Dumfries and Galloway,2553.1904545454545,243.2
Angus,4702.447,263.94
Orkney Islands,5428.473454545454,43.9
Highland,4067.925,326.3
Argyll and Bute,2801.122727272727,180.9
Dumfries and Galloway,2631.4831,247.58
Shetland Islands,5274.837648000001,38.31
Angus,8359.778909090908,237.46
Argyll and Bute,4138.5843,163.4
Argyll and Bute,2881.9484,164.0
Orkney Islands,1878.5806363636361,60.04
Orkney Islands,3949.217363636363,41.38
Moray,2446.9962,255.83
Angus,1562.6315454545452,285.87
Perth and Kinross,2244.622968,285.26
Na h-Eileanan Siar,2969.9196,46.4
East Renfrewshire,1502.5134545454544,230.34
Glasgow City,542.1268,375.68
Aberdeen City,1352.2913636363635,505.14
Aberdeenshire,4702.447,454.17
Shetland Islands,3711.3256,40.91
Highland,4702.447,428.59
"Edinburgh, City of",2059.5199999999995,385.64
Scottish Borders,2351.8922000000002,302.69
West Dunbartonshire,2837.5849733333325,175.48
Shetland Islands,1420.14352,41.95
Orkney Islands,4073.5491818181813,40.09
Moray,1768.8760909090906,268.66
Stirling,2956.0998,165.48
Falkirk,4819.832636363636,295.05
Falkirk,2806.3885454545452,370.82
South Lanarkshire,2188.7294,402.87
Stirling,5016.626005882354,165.48
Orkney Islands,4431.4785454545445,47.24
Shetland Islands,4634.7597000000005,38.82
Scottish Borders,3139.3979,275.17
West Dunbartonshire,1442.2490909090907,191.64
Na h-Eileanan Siar,5021.780856666666,46.4
Orkney Islands,4329.672727272727,47.24
Inverclyde,768.2286833333333,216.53
Na h-Eileanan Siar,3036.0466,47.89
Highland,5016.626005882354,428.59
Stirling,1498.417818181818,175.33
Midlothian,2141.4841966666663,147.53
South Lanarkshire,2815.6037272727267,420.42
Shetland Islands,1697.6412727272725,39.87
Aberdeenshire,3580.517,443.57
Dundee City,1447.8074545454542,277.46
Dumfries and Galloway,1412.1169090909088,233.0
Highland,4576.581090909091,363.75
Na h-Eileanan Siar,2793.4571,46.4
Glasgow City,1352.2913636363635,474.61
Dumfries and Galloway,1352.2913636363635,291.07
Na h-Eileanan Siar,2762.2141818181817,43.9
Moray,543.1823199999999,229.75
Orkney Islands,4702.447,42.53
Fife,1672.5673,427.96
Orkney Islands,5644.664545454544,43.46
"Edinburgh, City of",1570.9690909090907,452.69
Fife,1952.7409090909089,430.04
Scottish Borders,2918.8755,315.31
Argyll and Bute,2420.6673636363635,154.59
Shetland Islands,3515.9503,38.82
Argyll and Bute,7161.220181818181,155.16
Dumfries and Galloway,1281.3505999999998,321.12
Na h-Eileanan Siar,2235.0183,47.89
Angus,4702.447,263.94
East Renfrewshire,1898.7662727272725,217.52
Shetland Islands,2564.3527341176473,33.07
Stirling,3681.392,157.73
Perth and Kinross,6779.740909090909,275.35
Perth and Kinross,4702.447,308.1
Shetland Islands,3372.56232,38.02
Moray,4702.447,189.97
Orkney Islands,5016.626005882354,41.38
Perth and Kinross,1539.9592727272725,333.0
Stirling,2091.846272727272,158.41
Orkney Islands,2652.8021818181815,40.09
Dumfries and Galloway,1759.2011,247.58
Orkney Islands,4339.095420000001,47.24
Aberdeenshire,4702.447,506.3
Na h-Eileanan Siar,3470.3301,43.9
Midlothian,1956.397727272727,152.11
Dumfries and Galloway,1818.7550909090905,258.72
Glasgow City,1352.2913636363635,461.49
East Ayrshire,4702.447,195.26
Inverclyde,2607.457636363636,163.99
Glasgow City,1352.2913636363635,541.74
Shetland Islands,6322.7849090909085,38.82
Na h-Eileanan Siar,2898.8329090909087,43.9
Aberdeenshire,4702.447,454.17
North Ayrshire,9257.600909090908,314.35
Orkney Islands,4146.393,43.74
Highland,2447.2191000000003,355.68
Perth and Kinross,4652.350363636363,286.32
Scottish Borders,4211.3240000000005,315.53
Fife,3046.4220909090905,365.41
Dumfries and Galloway,2282.8675000000003,270.09
"Edinburgh, City of",1352.2913636363635,385.64
Moray,1182.2410399999999,229.08
Scottish Borders,4558.9242,353.05
Na h-Eileanan Siar,2209.682,51.53
Shetland Islands,5554.0772400000005,38.82
Shetland Islands,4776.99786,34.01
Orkney Islands,2667.37,47.24
Glasgow City,1352.2913636363635,398.5
Na h-Eileanan Siar,2712.3958000000002,46.23
